Ticker,Sector,Share_Price,Lot_Size,Lot_Cost,Annual_Lot_Dividend,Dividend_Yield
OOK,Consumer Defensive,237.62,100,23762.0,790.15,3.3253
SSTC,Healthcare,315.96,100,31596.0,886.77,2.8066
VPAL,Financials,73.96,100,7396.0,249.91,3.379
XPENP,Financials,91.38,100,9138.0,340.31,3.7242
PFOX,Consumer Defensive,186.56,100,18656.0,510.28,2.7352
ALVG,Real Estate,31.21,100,3121.0,114.33,3.6633
CNBM,Consumer Cyclical,32.67,100,3267.0,16.75,0.5126
AXKE,Communication Services,23.78,100,2378.0,69.95,2.9416
IIC,Healthcare,378.68,100,37868.0,756.5,1.9977
KEGT,Healthcare,223.81,100,22381.0,474.61,2.1206
FGTW,Technology,353.17,100,35317.0,292.62,0.8286
DWY,Utilities,43.1,100,4310.0,131.08,3.0413
QGVN,Financials,150.24,100,15024.0,574.0,3.8206
COZ,Industrials,97.98,100,9798.0,215.77,2.2022
YBUA,Utilities,110.84,100,11084.0,490.64,4.4266
WDG,Technology,448.59,100,44859.0,845.81,1.8855
XSW,Healthcare,55.99,100,5599.0,96.54,1.7242
MKBI,Technology,247.52,100,24752.0,275.24,1.112
GAR,Consumer Cyclical,164.89,100,16489.0,418.27,2.5366
JRF,Technology,329.33,100,32933.0,135.36,0.411
YJCV,Technology,190.6,100,19060.0,93.36,0.4898
BJSYU,Basic Materials,120.04,100,12004.0,257.32,2.1436
GNI,Consumer Defensive,88.99,100,8899.0,295.91,3.3252
ZLCD,Healthcare,117.49,100,11749.0,396.81,3.3774
CAFUI,Basic Materials,116.39,100,11639.0,318.17,2.7337
WME,Healthcare,86.22,100,8622.0,294.91,3.4204
PJCYP,Consumer Defensive,115.56,100,11556.0,491.91,4.2567
EHJ,Healthcare,385.28,100,38528.0,1317.42,3.4194
URN,Financials,83.18,100,8318.0,277.82,3.3399
KZK,Consumer Defensive,140.74,100,14074.0,367.56,2.6116
HRE,Energy,131.4,100,13140.0,314.58,2.394
VT,Consumer Defensive,54.12,100,5412.0,232.01,4.2869
AHQXS,Healthcare,300.85,100,30085.0,351.0,1.1667
CLO,Healthcare,59.52,100,5952.0,166.86,2.8034
WGX,Healthcare,132.2,100,13220.0,297.08,2.2472
WMY,Industrials,44.3,100,4430.0,118.24,2.6691
CPVO,Industrials,62.79,100,6279.0,142.31,2.2664
IGEX,Consumer Defensive,229.28,100,22928.0,549.13,2.395
URLN,Technology,426.4,100,42640.0,293.93,0.6893
IGB,Healthcare,382.4,100,38240.0,1069.8,2.7976
PBB,Basic Materials,107.11,100,10711.0,128.23,1.1972
YKH,Real Estate,144.5,100,14450.0,989.18,6.8455
MGRA,Healthcare,342.75,100,34275.0,725.02,2.1153
JSJB,Technology,68.89,100,6889.0,75.43,1.095
OPV,Financials,82.28,100,8228.0,350.91,4.2648
QV,Utilities,71.21,100,7121.0,217.3,3.0515
DFAL,Industrials,60.54,100,6054.0,66.3,1.0952
GLA,Technology,205.23,100,20523.0,353.82,1.724
SVA,Consumer Cyclical,130.34,100,13034.0,341.92,2.6233
LTQJ,Communication Services,187.4,100,18740.0,555.21,2.9627
XUSD,Energy,125.54,100,12554.0,262.15,2.0881
CZG,Technology,223.46,100,22346.0,470.53,2.1057
FSU,Technology,437.86,100,43786.0,501.48,1.1453
AAWV,Real Estate,28.54,100,2854.0,179.22,6.2794
ITWN,Real Estate,40.23,100,4023.0,213.57,5.3088
GRD,Real Estate,110.33,100,11033.0,766.57,6.948
LRCY,Financials,97.54,100,9754.0,221.2,2.2678
HGAF,Industrials,101.74,100,10174.0,250.58,2.4629
XDKN,Financials,197.95,100,19795.0,775.71,3.9187
KTOL,Healthcare,384.8,100,38480.0,908.62,2.3613
EZJ,Basic Materials,52.89,100,5289.0,152.77,2.8884
GKB,Financials,124.2,100,12420.0,410.61,3.306
BXZB,Financials,138.67,100,13867.0,363.2,2.6192
XEAAR,Financials,97.76,100,9776.0,232.3,2.3762
MRC,Financials,69.47,100,6947.0,248.02,3.5701
UMITD,Financials,70.36,100,7036.0,274.0,3.8943
LL,Technology,216.42,100,21642.0,458.84,2.1201
PUS,Industrials,237.61,100,23761.0,632.26,2.6609
UAHNG,Financials,81.76,100,8176.0,344.07,4.2083
OCEEG,Technology,129.26,100,12926.0,275.69,2.1328
SFC,Consumer Cyclical,242.44,100,24244.0,550.32,2.2699
KYW,Energy,111.01,100,11101.0,500.16,4.5056
BCK,Basic Materials,73.17,100,7317.0,136.79,1.8695
URTU,Technology,392.7,100,39270.0,151.67,0.3862
PCN,Consumer Cyclical,299.7,100,29970.0,367.33,1.2257
BCPBH,Industrials,182.05,100,18205.0,601.36,3.3033
FVD,Communication Services,253.46,100,25346.0,927.87,3.6608
HXDL,Consumer Cyclical,346.33,100,34633.0,983.39,2.8395
DDM,Real Estate,124.37,100,12437.0,593.24,4.7699
EQLP,Utilities,52.41,100,5241.0,209.12,3.9901
FOZ,Utilities,84.5,100,8450.0,258.89,3.0637
EC,Communication Services,160.54,100,16054.0,607.81,3.786
MY,Technology,314.86,100,31486.0,154.05,0.4893
KQV,Basic Materials,106.83,100,10683.0,136.89,1.2814
PBHOY,Technology,163.8,100,16380.0,112.03,0.6839
CSZ,Basic Materials,113.54,100,11354.0,188.06,1.6563
DBZWY,Technology,174.36,100,17436.0,226.84,1.301
EON,Basic Materials,47.93,100,4793.0,138.03,2.8799
JWJ,Technology,158.8,100,15880.0,232.26,1.4626
YSV,Technology,74.87,100,7487.0,146.27,1.9537
JWL,Real Estate,27.18,100,2718.0,107.5,3.9552
CLZ,Utilities,90.29,100,9029.0,271.37,3.0055
OBME,Technology,379.82,100,37982.0,605.92,1.5953
FFCS,Healthcare,42.89,100,4289.0,45.16,1.0529
DALR,Utilities,48.49,100,4849.0,235.74,4.8617
UFP,Consumer Defensive,65.57,100,6557.0,168.23,2.5657
BLQM,Industrials,264.75,100,26475.0,847.1,3.1996
ZLDT,Industrials,161.18,100,16118.0,359.44,2.2301
FDK,Technology,165.44,100,16544.0,284.43,1.7192
POID,Consumer Defensive,239.13,100,23913.0,589.91,2.4669
LCVUY,Technology,342.57,100,34257.0,661.72,1.9316
DOD,Communication Services,139.36,100,13936.0,349.37,2.5069
GLAF,Technology,411.54,100,41154.0,698.62,1.6976
UZUI,Energy,73.13,100,7313.0,413.07,5.6484
WYEJ,Basic Materials,135.58,100,13558.0,315.82,2.3294
GKJH,Consumer Cyclical,44.24,100,4424.0,132.47,2.9944
HWH,Basic Materials,47.73,100,4773.0,121.52,2.546
QEC,Energy,181.28,100,18128.0,799.99,4.413
CUA,Consumer Defensive,163.97,100,16397.0,253.3,1.5448
GH,Consumer Cyclical,101.75,100,10175.0,290.78,2.8578
WWYJ,Real Estate,128.78,100,12878.0,579.96,4.5035
EID,Financials,121.98,100,12198.0,411.25,3.3714
RKF,Utilities,80.16,100,8016.0,331.09,4.1304
FAQFD,Technology,200.8,100,20080.0,241.99,1.2051
RSNK,Industrials,70.73,100,7073.0,199.75,2.8241
ZBCT,Industrials,187.3,100,18730.0,261.2,1.3946
ZXH,Consumer Defensive,130.66,100,13066.0,373.56,2.859
HYH,Technology,385.45,100,38545.0,804.05,2.086
KHKP,Financials,161.25,100,16125.0,442.28,2.7428
GTF,Communication Services,241.55,100,24155.0,903.91,3.7421
IYT,Energy,111.65,100,11165.0,489.98,4.3886
QOVN,Consumer Cyclical,335.12,100,33512.0,670.63,2.0012
GOIY,Communication Services,157.32,100,15732.0,344.28,2.1884
VDW,Consumer Defensive,204.3,100,20430.0,690.53,3.38
DIF,Technology,410.98,100,41098.0,410.91,0.9998
XBIF,Energy,120.52,100,12052.0,305.21,2.5324
FMOL,Consumer Defensive,84.6,100,8460.0,247.44,2.9249
XKO,Utilities,46.28,100,4628.0,148.86,3.2164
RNHD,Consumer Cyclical,120.41,100,12041.0,88.3,0.7333
YPT,Consumer Defensive,68.66,100,6866.0,205.72,2.9963
ZIP,Consumer Cyclical,291.1,100,29110.0,472.16,1.622
TN,Consumer Cyclical,236.33,100,23633.0,439.94,1.8616
HMA,Communication Services,93.23,100,9323.0,178.0,1.9092
KQRTI,Energy,196.16,100,19616.0,514.26,2.6216
IDGO,Basic Materials,199.15,100,19915.0,760.07,3.8166
SCECB,Technology,149.42,100,14942.0,45.82,0.3067
DDQN,Financials,163.67,100,16367.0,635.29,3.8815
HYB,Industrials,247.72,100,24772.0,562.27,2.2698
CJI,Real Estate,147.72,100,14772.0,1024.1,6.9327
IBUW,Energy,237.33,100,23733.0,1033.26,4.3537
LBRCU,Utilities,56.7,100,5670.0,269.64,4.7555
YHS,Utilities,62.84,100,6284.0,299.73,4.7698
VVQS,Technology,259.05,100,25905.0,200.41,0.7736
KTHG,Utilities,28.03,100,2803.0,120.4,4.2954
AMH,Industrials,57.79,100,5779.0,158.2,2.7374
QXBC,Industrials,228.84,100,22884.0,467.65,2.0436
WLT,Healthcare,278.4,100,27840.0,285.19,1.0244
AQTDQ,Energy,79.47,100,7947.0,256.39,3.2262
ZQME,Industrials,186.37,100,18637.0,415.63,2.2302
DIP,Communication Services,147.16,100,14716.0,402.27,2.7336
HXN,Basic Materials,78.5,100,7850.0,253.37,3.2277
ZPE,Consumer Cyclical,65.78,100,6578.0,105.22,1.5996
DVV,Energy,94.49,100,9449.0,388.71,4.1137
BLCA,Financials,125.43,100,12543.0,293.33,2.3386
OMSM,Healthcare,174.52,100,17452.0,510.72,2.9264
AFFZ,Energy,40.34,100,4034.0,180.24,4.468
SSH,Technology,423.39,100,42339.0,714.9,1.6885
MEE,Energy,199.92,100,19992.0,1170.69,5.8558
NNFP,Technology,54.33,100,5433.0,88.83,1.6351
MSCO,Technology,315.89,100,31589.0,134.25,0.425
ECW,Communication Services,89.05,100,8905.0,308.57,3.4651
LJKWG,Financials,173.55,100,17355.0,517.78,2.9835
RFD,Technology,320.77,100,32077.0,533.55,1.6633
FZVQ,Consumer Cyclical,68.01,100,6801.0,52.91,0.778
BHT,Healthcare,160.1,100,16010.0,391.82,2.4473
SFZ,Utilities,40.08,100,4008.0,207.27,5.1713
OWW,Consumer Cyclical,55.12,100,5512.0,98.63,1.7893
PGXTO,Industrials,282.77,100,28277.0,973.66,3.4433
CGIQ,Technology,81.51,100,8151.0,43.22,0.5302
LUI,Industrials,208.44,100,20844.0,225.3,1.0809
YKKS,Technology,417.54,100,41754.0,478.72,1.1465
ZCLDT,Real Estate,100.59,100,10059.0,492.36,4.8947
NAX,Healthcare,377.78,100,37778.0,794.35,2.1027
MGY,Consumer Defensive,230.48,100,23048.0,538.51,2.3365
OHPT,Utilities,57.82,100,5782.0,196.59,3.4001
EGS,Technology,444.43,100,44443.0,1070.34,2.4083
TRC,Real Estate,141.04,100,14104.0,615.08,4.3611
LJOH,Industrials,147.91,100,14791.0,513.12,3.4692
DNWY,Healthcare,263.09,100,26309.0,458.34,1.7421
BIW,Financials,54.81,100,5481.0,214.63,3.9159
ZGFC,Financials,61.89,100,6189.0,182.1,2.9422
POE,Healthcare,183.86,100,18386.0,156.56,0.8515
BZ,Consumer Cyclical,124.26,100,12426.0,126.99,1.022
DARS,Technology,371.4,100,37140.0,803.66,2.1639
ZFVA,Technology,443.05,100,44305.0,218.33,0.4928
OYO,Financials,91.57,100,9157.0,285.11,3.1136
AYK,Utilities,86.87,100,8687.0,377.02,4.34
QIB,Real Estate,99.42,100,9942.0,568.15,5.7147
XCKA,Consumer Cyclical,230.02,100,23002.0,587.85,2.5556
ZAQ,Healthcare,63.22,100,6322.0,186.58,2.9512
LYE,Technology,429.29,100,42929.0,388.95,0.906
GPA,Communication Services,96.92,100,9692.0,246.56,2.5439
BQQ,Consumer Defensive,99.6,100,9960.0,252.81,2.5383
XCAM,Technology,56.92,100,5692.0,50.32,0.8841
ZHYOD,Basic Materials,154.93,100,15493.0,190.21,1.2277
JGJMW,Consumer Cyclical,42.57,100,4257.0,115.71,2.7181
RAYGA,Communication Services,187.6,100,18760.0,488.45,2.6037
PWSLQ,Healthcare,303.45,100,30345.0,540.98,1.7828
HY,Energy,74.98,100,7498.0,425.16,5.6703
HKPTI,Technology,63.82,100,6382.0,105.95,1.6601
OLO,Industrials,265.06,100,26506.0,549.51,2.0732
CTY,Basic Materials,183.71,100,18371.0,338.17,1.8408
UPL,Energy,242.51,100,24251.0,742.35,3.0611
ZTD,Consumer Cyclical,38.28,100,3828.0,77.52,2.025
ICQ,Technology,370.34,100,37034.0,638.33,1.7236
MLR,Financials,187.37,100,18737.0,343.4,1.8327
VGXN,Financials,58.03,100,5803.0,202.11,3.4829
WCE,Energy,63.31,100,6331.0,188.38,2.9755
AVL,Basic Materials,96.48,100,9648.0,188.47,1.9535
NIN,Basic Materials,52.8,100,5280.0,140.3,2.6572
ALQ,Financials,154.42,100,15442.0,296.34,1.919
HYS,Basic Materials,176.68,100,17668.0,498.7,2.8226
KEGDE,Consumer Defensive,245.29,100,24529.0,914.88,3.7298
SCR,Technology,357.72,100,35772.0,823.56,2.3023
RDL,Healthcare,358.17,100,35817.0,700.06,1.9545
GZJP,Real Estate,117.35,100,11735.0,404.94,3.4507
EXUX,Healthcare,372.51,100,37251.0,957.44,2.5702
AFUIL,Technology,195.62,100,19562.0,237.04,1.2118
TSJT,Industrials,168.33,100,16833.0,336.65,2.0
VFOC,Consumer Defensive,156.08,100,15608.0,237.81,1.5236
LBH,Industrials,62.2,100,6220.0,135.65,2.1809
IAZ,Industrials,278.07,100,27807.0,381.89,1.3733
ZASV,Healthcare,393.86,100,39386.0,662.05,1.6809
BW,Technology,342.66,100,34266.0,375.22,1.095
LRS,Technology,199.34,100,19934.0,214.27,1.0749
EEUT,Technology,351.76,100,35176.0,769.71,2.1882
EWCMQ,Consumer Defensive,188.04,100,18804.0,835.81,4.4448
OFBQI,Consumer Defensive,169.41,100,16941.0,646.18,3.8143
SQCY,Consumer Defensive,249.41,100,24941.0,891.93,3.5762
YFVP,Industrials,66.92,100,6692.0,199.65,2.9834
TAX,Consumer Defensive,49.81,100,4981.0,199.13,3.9978
HSE,Industrials,178.28,100,17828.0,450.11,2.5247
NRYI,Technology,264.47,100,26447.0,154.16,0.5829
EOR,Healthcare,237.06,100,23706.0,709.87,2.9945
BHNHG,Technology,127.84,100,12784.0,74.96,0.5864
WNI,Consumer Cyclical,97.82,100,9782.0,154.4,1.5784
BCOJ,Consumer Defensive,171.65,100,17165.0,616.1,3.5893
LHT,Basic Materials,142.16,100,14216.0,415.81,2.9249
WQND,Real Estate,34.1,100,3410.0,200.05,5.8666
PEVW,Healthcare,90.06,100,9006.0,105.65,1.1731
XQMRT,Technology,223.12,100,22312.0,289.3,1.2966
DDFE,Real Estate,112.88,100,11288.0,515.97,4.571
XPUM,Energy,64.88,100,6488.0,195.0,3.0055
UTL,Healthcare,399.72,100,39972.0,1327.64,3.3214
UWU,Energy,237.11,100,23711.0,987.8,4.166
NNC,Consumer Cyclical,225.53,100,22553.0,269.24,1.1938
XHXNB,Consumer Cyclical,252.91,100,25291.0,406.41,1.607
TCJZ,Financials,69.16,100,6916.0,122.61,1.7729
HDC,Financials,125.52,100,12552.0,481.63,3.837
BVT,Technology,326.56,100,32656.0,229.09,0.7015
JYD,Financials,51.79,100,5179.0,122.41,2.3635
ZLSI,Technology,169.56,100,16956.0,151.07,0.891
EZU,Consumer Cyclical,104.22,100,10422.0,241.5,2.3172
SJHL,Technology,430.22,100,43022.0,478.36,1.1119
ACNY,Communication Services,230.98,100,23098.0,642.66,2.7823
IBB,Industrials,165.53,100,16553.0,547.11,3.3052
GFZ,Healthcare,89.06,100,8906.0,202.0,2.2681
IYE,Technology,178.9,100,17890.0,230.97,1.291
XDK,Communication Services,138.58,100,13858.0,237.24,1.712
MIJ,Consumer Defensive,52.78,100,5278.0,147.07,2.7864
UWQ,Technology,60.51,100,6051.0,44.14,0.7294
HON,Utilities,67.14,100,6714.0,193.01,2.8747
CLR,Industrials,114.17,100,11417.0,378.48,3.3151
GALY,Technology,257.2,100,25720.0,407.87,1.5858
HKX,Technology,96.86,100,9686.0,65.69,0.6782
GUZR,Consumer Cyclical,272.05,100,27205.0,801.23,2.9452
URWI,Healthcare,156.18,100,15618.0,304.15,1.9474
UMZS,Technology,70.53,100,7053.0,173.44,2.4591
GQC,Real Estate,83.68,100,8368.0,258.18,3.0853
FWFFG,Consumer Cyclical,190.71,100,19071.0,97.41,0.5108
SVL,Consumer Cyclical,317.24,100,31724.0,294.28,0.9276
HOU,Technology,380.87,100,38087.0,412.91,1.0841
YJGH,Industrials,41.02,100,4102.0,113.15,2.7585
YICI,Industrials,239.5,100,23950.0,356.57,1.4888
JHN,Financials,66.66,100,6666.0,231.79,3.4772
YTHGB,Healthcare,302.71,100,30271.0,642.57,2.1227
OKS,Energy,58.75,100,5875.0,316.28,5.3835
LZR,Industrials,83.56,100,8356.0,101.72,1.2173
YKFDT,Technology,319.03,100,31903.0,213.5,0.6692
NY,Consumer Cyclical,209.66,100,20966.0,523.08,2.4949
DLK,Real Estate,128.07,100,12807.0,677.32,5.2887
OYOI,Utilities,103.68,100,10368.0,539.22,5.2008
WJT,Healthcare,323.98,100,32398.0,863.9,2.6665
ADC,Energy,85.14,100,8514.0,242.37,2.8467
ZZD,Financials,26.11,100,2611.0,55.45,2.1237
ZNS,Technology,69.67,100,6967.0,21.58,0.3098
AZZM,Consumer Defensive,134.19,100,13419.0,214.21,1.5963
KJM,Healthcare,317.99,100,31799.0,343.78,1.0811
MWE,Technology,188.86,100,18886.0,429.04,2.2717
MCJ,Industrials,78.59,100,7859.0,153.49,1.9531
EUNBQ,Consumer Cyclical,315.06,100,31506.0,600.22,1.9051
RJI,Industrials,253.68,100,25368.0,356.2,1.4041
IYF,Consumer Defensive,149.1,100,14910.0,276.01,1.8512
NSV,Financials,160.53,100,16053.0,319.62,1.991
PQUKQ,Real Estate,71.25,100,7125.0,322.96,4.5328
OVXNS,Technology,435.49,100,43549.0,689.57,1.5834
AMMN,Consumer Defensive,242.67,100,24267.0,574.95,2.3693
RHYQ,Healthcare,79.45,100,7945.0,230.72,2.904
CQQ,Technology,446.96,100,44696.0,1017.16,2.2757
OCM,Healthcare,146.45,100,14645.0,481.37,3.2869
YGAKM,Energy,84.58,100,8458.0,211.73,2.5033
APS,Financials,141.17,100,14117.0,539.36,3.8206
GVZX,Technology,92.27,100,9227.0,91.84,0.9954
LZICA,Industrials,171.6,100,17160.0,395.17,2.3028
NWY,Healthcare,313.63,100,31363.0,842.52,2.6864
